d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
75.439453,75.958,75.439453,75.751,75.439453,76.035,,,,
75.805664,76.027,75.805664,75.82,75.805664,76.102,,,,
76.171875,76.095,76.171875,75.889,76.171875,76.171,,,,
76.538086,76.163,76.538086,75.958,76.538086,76.241,,,,
76.904297,76.232,76.904297,76.025,76.904297,76.312,,,,
77.270508,76.302,77.270508,76.092,77.270508,76.381,,,,
77.636719,76.373,77.636719,76.159,77.636719,76.448,,,,
78.00293,76.443,78.00293,76.227,78.00293,76.514,,,,
78.369141,76.51,78.369141,76.294,78.369141,76.579,,,,
78.735352,76.574,78.735352,76.36,78.735352,76.645,,,,
79.101562,76.635,79.101562,76.425,79.101562,76.711,,,,
79.467773,76.695,79.467773,76.489,79.467773,76.776,,,,
79.833984,76.755,79.833984,76.554,79.833984,76.842,,,,
80.200195,76.817,80.200195,76.619,80.200195,76.906,,,,
80.566406,76.882,80.566406,76.684,80.566406,76.969,,,,
80.932617,76.947,80.932617,76.75,80.932617,77.032,,,,
81.298828,77.013,81.298828,76.814,81.298828,77.096,,,,
81.665039,77.078,81.665039,76.876,81.665039,77.16,,,,
82.03125,77.141,82.03125,76.937,82.03125,77.224,,,,
82.397461,77.202,82.397461,76.997,82.397461,77.287,,,,
82.763672,77.261,82.763672,77.056,82.763672,77.349,,,,
83.129883,77.32,83.129883,77.117,83.129883,77.408,,,,
83.496094,77.378,83.496094,77.178,83.496094,77.465,,,,
83.862305,77.437,83.862305,77.239,83.862305,77.523,,,,
84.228516,77.497,84.228516,77.301,84.228516,77.581,,,,
84.594727,77.557,84.594727,77.361,84.594727,77.641,,,,
84.960938,77.618,84.960938,77.42,84.960938,77.702,,,,
85.327148,77.677,85.327148,77.479,85.327148,77.763,,,,
85.693359,77.736,85.693359,77.536,85.693359,77.823,,,,
86.05957,77.793,86.05957,77.593,86.05957,77.88,,,,
86.425781,77.85,86.425781,77.65,86.425781,77.936,,,,
86.791992,77.906,86.791992,77.707,86.791992,77.991,,,,
87.158203,77.962,87.158203,77.765,87.158203,78.048,,,,
87.524414,78.019,87.524414,77.823,87.524414,78.106,,,,
87.890625,78.075,87.890625,77.881,87.890625,78.164,,,,
88.256836,78.131,88.256836,77.938,88.256836,78.222,,,,
88.623047,78.186,88.623047,77.994,88.623047,78.279,,,,
88.989258,78.242,88.989258,78.049,88.989258,78.335,,,,
89.355469,78.298,89.355469,78.103,89.355469,78.39,,,,
89.72168,78.354,89.72168,78.158,89.72168,78.443,,,,
90.087891,78.409,90.087891,78.213,90.087891,78.496,,,,
90.454102,78.463,90.454102,78.269,90.454102,78.548,,,,
90.820312,78.516,90.820312,78.324,90.820312,78.601,,,,
91.186523,78.567,91.186523,78.378,91.186523,78.653,,,,
91.552734,78.618,91.552734,78.432,91.552734,78.704,,,,
91.918945,78.669,91.918945,78.485,91.918945,78.754,,,,
92.285156,78.72,92.285156,78.538,92.285156,78.803,,,,
92.651367,78.772,92.651367,78.59,92.651367,78.852,,,,
93.017578,78.824,93.017578,78.643,93.017578,78.9,,,,
93.383789,78.875,93.383789,78.695,93.383789,78.95,,,,
93.75,78.926,93.75,78.745,93.75,79.002,,,,
